self_id,id1,id2,id3,id4,id5,id6,id7,id8
5658,20860,29227,5659,22622,3806,5657,5652,20859
5659,5658,3806,20860,29227,76417,5657,10602,5652
5660,45201,29608,33116,45318,29292,34342,3806,48438
5756,562,17655,13020,8424,515,638,17285,25466
5761,2572,8203,17160,13084,23282,33698,46078,12754
5916,22616,41767,46078,64262,36348,72394,1418,22817
5972,20860,29227,14454,23616,27347,1589,5658,29204
6029,6030,36083,64327,68411,27589,66057,40268,67188
6030,36083,64327,6029,68411,27589,66057,67508,67188
6034,20505,15654,20504,15203,22272,6030,6968,1550
6138,20112,14300,1537,18279,12992,1535,1536,12655
6150,14589,25101,14592,27828,10645,20379,21772,13282
6329,6400,6397,30776,30704,23913,30686,23795,6332
6331,30686,6331,6400,30790,6397,30704,23795,6332
6332,30686,6331,6400,30790,6397,30704,23795,6332
6353,22697,3537,5256,17285,2776,16417,638,511
6397,30686,6331,6400,30790,6397,30704,23795,6332
6400,30686,6331,6400,30790,6397,30704,23795,6332
6523,513,515,562,512,454,45878,514,21800
6551,68372,74536,13241,38233,36580,49075,42953,36609
6723,73752,5256,65767,62056,64816,10480,2788,65833
6761,17072,19869,23563,30247,21824,25422,17070,19337
6769,35707,5537,8555,32625,17566,54330,42273,36757
6824,10649,32306,6825,8284,68391,63460,43944,74998
6825,10649,43516,15474,16491,6824,75449,55097,39007
6968,4920,64800,73843,72008,4014,55610,55609,48078
7047,638,16417,563,5657,52405,61060,5652,71164
7167,3606,4920,4786,4014,30183,8555,5537,70395
7324,1122,3003,1121,1123,3365,29204,14454,20417
7348,7463,34146,21822,11757,35036,16074,24905,5441
7360,17162,12421,53362,35881,13009,46242,51792,52171
7425,5009,41767,46078,34416,33698,12992,57792,38619
7448,9511,13006,11664,15369,15339,12155,14014,10656
7463,16074,5441,11757,7348,24905,17538,21822,4073
7516,8575,75787,11899,75788,73752,6723,11263,26722
7672,7673,7675,28350,22450,24059,62442,13350,56887
7673,7672,7675,42030,49418,42534,24059,39299,28350
7675,28350,16638,24059,22450,13350,7672,7673,16115
7693,7694,17010,44081,20757,37045,8422,4904,20021
7694,7693,30571,27785,23315,32283,31080,56001,24244
7731,8575,13020,75788,11899,75787,4110,26722,11263
7810,26419,26418,51599,3619,75683,7811,17737,26420
7811,26418,51599,26419,22968,75683,17737,26420,7810
7815,61696,31426,45701,7842,57990,70732,46179,31427
7816,54028,54060,53909,53959,54000,53906,54059,54265
7828,8769,7828,8770,14301,8203,2572,3939,5411
7842,7842,31426,22464,27588,7815,18903,18898,21652
7849,20584,24443,11325,24444,56725,58921,11324,36036
7956,54059,53909,53959,54000,54028,53906,54265,54134
8102,29727,53158,32661,18533,37650,20202,59826,19674
8203,14299,33698,5761,68227,13084,23282,46078,41767
8274,2784,21607,41315,31705,32222,30682,38866,38683
8284,13289,39007,66430,31935,55097,65636,64379,75449
8310,12992,26007,26909,30608,45628,42332,30571,31080
8422,7693,13152,1504,17010,22622,25918,16818,3606
8424,638,22697,5756,11899,75788,563,75787,16083
8514,24057,27861,27229,2725,2780,19141,8310,8717
8555,6769,4014,4786,3606,5537,7167,24185,49748
8575,75788,11899,75787,7731,562,73752,18203,7516
8590,53158,32222,18533,38866,53159,38552,30682,59439
8679,25422,21751,19869,17072,30247,23563,21824,26393
8717,19558,2725,10645,20379,21772,2726,20757,44081
8769,8769,7828,8770,14301,8203,2572,3939,5411
8770,33242,8769,73646,39886,44082,7828,66845,75244
8869,30682,8274,32222,14242,8590,6968,1542,18533
8950,65447,14592,14589,25101,37952,6150,62717,27347
8999,29697,31970,14394,21694,14396,21191,54361,23904
9117,26012,5009,7425,34416,46078,41767,9118,54396
9118,52239,34416,13084,7425,14299,8310,12992,26012
9200,72130,20112,1537,64879,14300,18279,6138,58519
9238,35351,41492,1123,54028,54000,54060,54059,54265
9239,9239,9422,9240,11493,436,54060,54028,54059
9240,9422,9239,9241,11493,47695,436,5441,54216
9241,9239,9422,9240,11493,436,54060,54028,54059
9422,9239,9422,9240,11493,436,54060,54028,54059
9511,11664,13006,15369,15339,7448,12155,14014,3619
9906,1621,20470,1154,1622,1620,1550,5411,2106
10001,15550,19871,513,507,49731,454,21436,510
10265,57479,13084,70647,14348,62237,68867,37619,33445
10465,429,54028,54060,53959,54000,53908,54059,54265
10466,54028,53909,53959,54000,54060,54059,54265,54216
10478,70635,66308,10480,1415,36299,1414,53959,54060
10479,42332,30608,30571,25405,31080,26446,27785,42331
10480,10478,73752,66308,70635,6723,20199,42904,14397
10602,76417,66848,74888,67963,73570,74545,31970,5659
10605,76417,10602,66848,74888,67963,73570,74545,31970
10645,10645,21772,8717,19558,6150,1492,10656,2725
10649,15474,43516,55097,31935,65636,59986,66430,64379
10656,14301,26418,51599,48313,26419,69069,62689,51749
10784,25414,10785,17538,20478,60511,11757,5441,21822
10785,25414,10784,24082,31973,48911,961,41084,47695
10786,33706,53591,54724,47781,51613,45344,36035,36037
10788,35881,75708,76780,20757,44081,46242,51792,52352
10789,36037,36035,10789,53449,36039,53678,51793,51814
10793,10786,5487,962,960,4904,966,25414,3939
10794,69515,54000,54028,53908,53909,53959,54265,54134
11126,20243,15131,15139,15130,23328,17160,14435,15140
11263,75787,11899,75788,26722,15130,21110,8575,13020
11324,24444,11325,20584,24443,45450,7849,17538,3824
11325,24444,20584,24443,11324,45450,7849,3824,17538
11328,15140,17160,26012,55712,63558,13084,14435,34416
11456,18573,30368,38233,20199,22966,20986,38540,36609
11493,68731,12073,25103,14396,21191,14394,63460,68391
11635,11642,11641,48605,19201,64233,22590,34982,36270
11641,11642,11641,48605,19201,64233,22590,34982,36270
11642,11642,11641,48605,19201,64233,22590,34982,36270
11664,11664,13006,15369,15339,7448,12155,14014,3619
11709,30733,55461,11456,45855,42332,42195,38619,45628
11753,18448,27590,18450,18449,11789,25812,11958,12143
11757,19960,16074,21822,34146,35036,5441,7463,17538
11789,12143,18449,11789,11958,18450,18448,25812,27588
11896,11897,1542,961,1554,3939,3824,429,54265
11897,21191,14396,21694,14394,11896,42904,55353,25952
11899,11899,75787,26722,11263,15130,21110,8575,13020
11900,18203,24473,562,1537,14300,18279,65486,20112
11958,12143,18449,11789,11958,18450,18448,25812,27588
11963,23660,37619,33445,73769,19674,38807,38754,33783
12073,61474,53908,11493,42948,55461,70795,53906,52425
12143,12143,18449,11789,11958,18450,18448,25812,27588
12155,26419,26418,51599,11664,13006,9511,75683,17737
12181,21762,17557,17537,19337,967,62419,41816,965
12186,19337,30241,17072,36757,19869,36732,30247,21824
12197,30733,23599,26007,37619,33445,23660,15131,20243
12386,12835,12492,6769,3517,5537,961,4920,4014
12421,35881,7360,46242,32625,17566,75708,54330,51792
12492,12835,12492,6769,3517,5537,961,4920,4014
12655,20112,14300,18279,23315,1537,6138,19274,30034
12734,70395,75063,62689,51749,63117,69242,69069,57792
12754,33698,69069,49075,22966,38540,20986,51749,38233
12824,52171,51814,53678,51793,36035,53449,36039,10789
12835,12835,12492,6769,3517,5537,961,4920,4014
12928,45727,52405,46089,76963,2719,63066,47569,54497
12982,54330,32625,17566,31973,41360,12421,53677,53449
12992,45628,30571,27785,24244,25405,42331,42332,26909
13006,11664,13006,15369,15339,7448,12155,14014,3619
13009,53362,7360,17162,33772,63735,63738,63736,53449
13020,11899,75787,75788,17655,7731,26930,26722,11263
13084,34416,52239,46078,68227,41767,14435,5009,23282
13112,72989,35386,73020,55192,51733,44082,39886,64487
13152,55729,61003,23913,6331,6332,6397,6400,23795
13241,32179,36470,22966,49075,36484,20986,38540,36609
13261,15280,7425,1521,9118,1554,2572,8422,53959
13276,727,54060,54000,54028,54059,53909,54330,54216
13282,14592,37952,32371,14589,14413,6150,25101,56979
13289,8284,39008,64379,75449,73291,39007,74998,65636
13349,20962,12186,7167,7673,7672,1154,16638,28350
